,label,comment,label doc,comment doc,comment not empty
http://d-nb.info/standards/elementset/agrelon#HasAdoptiveSibling,ha fratello adottato o sorella adottata,,ha fratello adottato sorella adottata ,,False
http://d-nb.info/standards/elementset/agrelon#HasFriend,tiene amigo(a),,tiene amigo ,,False
http://d-nb.info/standards/elementset/agrelon#HasSiblingInlaw,ha cognato(a),,ha cognato ,,False
http://d-nb.info/standards/elementset/agrelon#HasIsMuse,has muse / is muse of,,muse muse ,,False
http://d-nb.info/standards/elementset/agrelon#HasAssociate,hat Gruppenzugehörigkeit,,hat gruppenzugehörigkeit ,,False
http://d-nb.info/standards/elementset/agrelon#HasStepSibling,hat Stiefgeschwister,,hat stiefgeschwister ,,False
http://d-nb.info/standards/elementset/agrelon#HasLover,tiene amante,,tiene amante ,,False
http://d-nb.info/standards/elementset/agrelon#HasNieceNephewAuntUncle,ha zia o zio / nipote (di zii),,ha zia zio nipote di zii ,,False
http://d-nb.info/standards/elementset/agrelon#HasChildParentInlaw,tiene yerno o nuera / suegro(a),,tiene yerno nuera suegro ,,False
http://d-nb.info/standards/elementset/agrelon#HasVitalLethalContact,ha contatto vitale o letale,,ha contatto vitale letale ,,False
http://d-nb.info/standards/elementset/agrelon#HasRelative,has relative,,relative ,,False
http://d-nb.info/standards/elementset/agrelon#HasHalfSibling,hat Halbgeschwister,,hat halbgeschwister ,,False
http://d-nb.info/standards/elementset/agrelon#HasFianceeFiance,has fiancee  or fiance,,fiancee fiance ,,False
http://d-nb.info/standards/elementset/agrelon#HasStepChildParent,ha figliastro(a) / padrigno o madrigna,,ha figliastro padrigno madrigna ,,False
http://d-nb.info/standards/elementset/agrelon#HasBiologicalSibling,hat biologisches Geschwister,,hat biologisches geschwister ,,False
http://d-nb.info/standards/elementset/agrelon#HasBiologicalChildParent,tiene hijo(a) / padre / madre biológico(a),,tiene hijo padre madre biológico ,,False
http://d-nb.info/standards/elementset/agrelon#HasMurdereeMurderer,ha vittima domicidio / assassino(a),,ha vittima omicidio assassino ,,False
http://d-nb.info/standards/elementset/agrelon#HasFosterChildParent,hat Pflegekind / -elter,,hat pflegekind elter ,,False
http://d-nb.info/standards/elementset/agrelon#HasSpouse,ha coniuge,,ha coniuge ,,False
http://d-nb.info/standards/elementset/agrelon#NAries,n-ary classes,,n ary classes ,,False
http://d-nb.info/standards/elementset/agrelon#HasCohabitee,ha compagno(a) di vita,,ha compagno di vita ,,False
http://d-nb.info/standards/elementset/agrelon#HasStudentTeacher,tiene estudiante / maestro(a),,tiene estudiante maestro ,,False
http://d-nb.info/standards/elementset/agrelon#HasFosterSibling,has foster sibling,,foster sibling ,,False
http://d-nb.info/standards/elementset/agrelon#HasGrandChildParent,has grandchild / grandparent,,grandchild grandparent ,,False
http://d-nb.info/standards/elementset/dnb#QualifiedLanguage,Qualifizierte Sprache,,qualifizierte sprache ,,False
http://d-nb.info/standards/elementset/dnb#AutomatedActivity,Automatisierte Aktivität,,automatisierte aktivität ,,False
http://d-nb.info/standards/elementset/dnb#IntellectualActivity,Intellektuelle Aktivität,,intellektuelle aktivität ,,False
http://d-nb.info/standards/elementset/dnb#QualifiedSubject,Qualifiziertes Thema,,qualifiziertes thema ,,False
http://iserve.kmi.open.ac.uk/ns/hrests#URITemplate,URI Template,,uri template ,,False
http://iserve.kmi.open.ac.uk/ns/hrests#OutputFormatParameter,Output Format Parameter,,output format parameter ,,False
http://www.w3.org/2011/http#Method,Method,,method ,,False
http://iserve.kmi.open.ac.uk/ns/hrests#AuthenticationCredential,Authentication Credential,,authentication credential ,,False
http://iserve.kmi.open.ac.uk/ns/msm#MessagePart,Message Part,,message part ,,False
http://iserve.kmi.open.ac.uk/ns/msm#Operation,Operation,,operation ,,False
http://iserve.kmi.open.ac.uk/ns/msm#MessageContent,Message Content,,message content ,,False
http://iserve.kmi.open.ac.uk/ns/msm#Service,Service,,service ,,False
http://lemon-model.net/lemon#SynRoleMarker,Syntactisch rol merker,,syntactisch rol merker ,,False
http://lemon-model.net/lemon#PropertyValue,Свойство,,свойство ,,False
http://lemon-model.net/lemon#PhraseElement,Elemento del sintagma,,elemento del sintagma ,,False
http://lemon-model.net/lemon#MorphPattern,Patron morphologique,,patron morphologique ,,False
http://lemon-model.net/lemon#Word,Word,,word ,,False
http://lemon-model.net/lemon#Form,Form,,form ,,False
http://lemon-model.net/lemon#Component,Componente,,componente ,,False
http://lemon-model.net/lemon#SenseDefinition,Определение,,определение ,,False
http://lemon-model.net/lemon#LexicalContext,Lexical Context,,lexical context ,,False
http://lemon-model.net/lemon#Node,Nœud,,nœud ,,False
http://lemon-model.net/lemon#LexicalCondition,Condition lexicale,,condition lexicale ,,False
http://lemon-model.net/lemon#Argument,Actant,,actant ,,False
http://lemon-model.net/lemon#Lexicon,Lexicon,,lexicon ,,False
http://lemon-model.net/lemon#SenseCondition,Condición,,condición ,,False
http://lemon-model.net/lemon#Frame,Рамка,,рамка ,,False
http://lemon-model.net/lemon#Phrase,Syntagme,,syntagme ,,False
http://lemon-model.net/lemon#LexicalTopic,Lexical Topic,,lexical topic ,,False
http://lemon-model.net/lemon#NodeConstituent,Konstituent,,konstituent ,,False
http://lemon-model.net/lemon#Part,Wortteil,,wortteil ,,False
http://lemon-model.net/lemon#LexicalEntry,Lexikaal item,,lexikaal item ,,False
http://lemon-model.net/lemon#UsageExample,Anwendungsbeispiel,,anwendungsbeispiel ,,False
http://lemon-model.net/lemon#MorphTransform,Morphological Transform,,morphological transform ,,False
http://lemon-model.net/lemon#SenseContext,Contexto,,contexto ,,False
http://lemon-model.net/lemon#LexicalSense,Signification lexicale,,signification lexicale ,,False
http://lemon-model.net/lemon#Prototype,Prototipo,,prototipo ,,False
http://ndl.go.jp/dcndl/terms/BibResource,Bib Resource,,bib resource ,,False
http://ndl.go.jp/dcndl/terms/Item,Item,,item ,,False
http://ndl.go.jp/dcndl/terms/BibAdminResource,Bib Admin Resource,,bib admin resource ,,False
http://ns.inria.fr/ast/sql#View,Relational View,,relational view ,,False
http://ns.inria.fr/ast/sql#Intersect,Intersection,,intersection ,,False
http://ns.inria.fr/ast/sql#Exists,Exists predicate,,exists predicate ,,False
http://ns.inria.fr/ast/sql#Union,Union,,union ,,False
http://ns.inria.fr/ast/sql#DataTypeConversionFunction,Data Type Conversion Function,,data type conversion function ,,False
http://ns.inria.fr/ast/sql#TableIdentifier,Table Identifier,,table identifier ,,False
